L;pop;b1;b2;b3;N1;N2;N3;N4;S1x;S2x;S3x;S4x;ni1;ni2;ni3;ni4
4;7;917,1;1127,3;1450,3;31;35;21;4;84,82;50,66;95,08;451,25;3;2;2;2
4;10;1031;2881;7910;164;84;33;3;206,79;482,37;1417,89;12446,71;7;8;10;3
4;12;21;55;247;180;77;25;2;4,37;9,45;39,33;159,1;8;8;10;2
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
L = Number  of Strata;;;;;;;;;;;;;;;;
pop = Population;;;;;;;;;;;;;;;;
bj = cutoff;;;;;;;;;;;;;;;;
Nj = Number of observation in each stratum;;;;;;;;;;;;;;;;
Sjx = Standard deviation in each stratum;;;;;;;;;;;;;;;;
nij - integer sample size;;;;;;;;;;;;;;;;
