L;pop;b1;b2;b3;b4;N1;N2;N3;N4;N5;S1x;S2x;S3x;S4x;S5x;nr1;nr2;nr3;nr4;nr5;ni1;ni2;ni3;ni4;ni5
5;7;917,1;1089,4;1270;1450,3;31;29;22;5;4;84,82;38,03;53,02;34,13;451,25;3,8;1,6;1,7;0,2;2,6;2;2;2;2;2
5;10;852;1837;3613;7910;146;77;33;25;3;164,09;278,18;500,99;1257,02;12446,71;5,1;4,6;3,5;6,7;8;6;6;4;9;3
5;12;17;39;78;138;155;81;34;11;3;3,36;5,97;11,24;15,07;212,13;6,7;6,2;4,9;2,1;8,1;8;8;6;3;3
5;20;764;1554;3403;5879;272;225;111;34;35;163,29;192,41;546,49;633,85;1040,55;14,6;14,3;20;7,1;12;15;14;20;7;12
;;;;;;;;;;;;;;;;;;;;;;;;;
L = Number  of Strata;;;;;;;;;;;;;;;;;;;;;;;;;
pop = Population;;;;;;;;;;;;;;;;;;;;;;;;;
bj = cutoff;;;;;;;;;;;;;;;;;;;;;;;;;
Nj = Number of observation in each stratum;;;;;;;;;;;;;;;;;;;;;;;;;
Sjx = Standard deviation in each stratum;;;;;;;;;;;;;;;;;;;;;;;;;
nrj = sample size - Neyman;;;;;;;;;;;;;;;;;;;;;;;;;
nij - integer sample size;;;;;;;;;;;;;;;;;;;;;;;;;
